Country,Indicator,Year,Value
Estonia,Infant mortality ratej(per 1 000 live births),2010,4.7
Estonia,Infant mortality ratej(per 1 000 live births),2015,3.2
Estonia,Infant mortality ratej(per 1 000 live births),2021,2c
Estonia,Health: Physicians(per 1 000 pop.),2010,3.2
Estonia,Health: Physicians(per 1 000 pop.),2015,3.4
Estonia,Health: Physicians(per 1 000 pop.),2021,0l
Estonia,Education: Primary gross enrol. ratio(f/m per 100 pop.),2010,102.2 /      103.8
Estonia,Education: Primary gross enrol. ratio(f/m per 100 pop.),2015,97.1 /       97.1
Estonia,Education: Primary gross enrol. ratio(f/m per 100 pop.),2021,97.8 /       97.5l
Estonia,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2010,109.1 /      105.6
Estonia,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2015,116.1 /      113.1
Estonia,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2021,134.5 /      127.9l
Estonia,Seats held by women in national parliaments(%),2010,22.8
Estonia,Seats held by women in national parliaments(%),2015,19.8
Estonia,Seats held by women in national parliaments(%),2021,27.7n
Estonia,Urban population(% of total population),2010,68.1
Estonia,Urban population(% of total population),2015,68.4
Estonia,Urban population(% of total population),2021,69.1b
Estonia,"Fertility rate, totalj(live births per woman)",2010,1.7
Estonia,"Fertility rate, totalj(live births per woman)",2015,1.6
Estonia,"Fertility rate, totalj(live births per woman)",2021,1.6c
Estonia,"Population age distribution(0-14/60+ years old, %)",2010,15.1 /       23.2
Estonia,"Population age distribution(0-14/60+ years old, %)",2015,16.1 /       25.1
Estonia,"Population age distribution(0-14/60+ years old, %)",2021,16.5 /       27.2a
Estonia,Refugees and others of concern to UNHCR(000),2010,101k
Estonia,Refugees and others of concern to UNHCR(000),2015,86.8
Estonia,Refugees and others of concern to UNHCR(000),2021,74.6c
Estonia,Health: Current expenditure(% of GDP),2010,6.3
Estonia,Health: Current expenditure(% of GDP),2015,6.3
Estonia,Health: Current expenditure(% of GDP),2021,6.7l
Estonia,Education: Government expenditure(% of GDP),2010,5.5
Estonia,Education: Government expenditure(% of GDP),2015,5.1
Estonia,Education: Government expenditure(% of GDP),2021,5m
Estonia,Education: Secondary gross enrol. ratio(f/m per 100 pop.),2010,105.3 /      105.2
Estonia,Education: Secondary gross enrol. ratio(f/m per 100 pop.),2015,110.8 /      111.3
Estonia,Education: Secondary gross enrol. ratio(f/m per 100 pop.),2021,118.3 /      115.0l
Estonia,Intentional homicide rate(per 100 000 pop.),2010,5.3
Estonia,Intentional homicide rate(per 100 000 pop.),2015,3.4
Estonia,Intentional homicide rate(per 100 000 pop.),2021,2.1l
Eswatini,Population growth ratek(average annual %),2010,0.7
Eswatini,Population growth ratek(average annual %),2015,0.7
Eswatini,Population growth ratek(average annual %),2021,1e
Eswatini,Urban population growth ratek(average annual %),2010,2.1
Eswatini,Urban population growth ratek(average annual %),2015,2.6
Eswatini,Urban population growth ratek(average annual %),2021,...
Eswatini,"Life expectancy at birthk(females/males, years)",2010,46.0 /       42.0
Eswatini,"Life expectancy at birthk(females/males, years)",2015,54.0 /       47.8
Eswatini,"Life expectancy at birthk(females/males, years)",2021,63.9 /       55.2e
Eswatini,International migrant stockl(000/% of total pop.),2010,32.6 /        3.1
Eswatini,International migrant stockl(000/% of total pop.),2015,32.4 /        2.9
Eswatini,International migrant stockl(000/% of total pop.),2021,32.9 /        2.8e
Eswatini,Infant mortality ratek(per 1 000 live births),2010,74.2
Eswatini,Infant mortality ratek(per 1 000 live births),2015,51.6
Eswatini,Infant mortality ratek(per 1 000 live births),2021,41.4e
Eswatini,Health: Physicians(per 1 000 pop.),2010,0.2n
Eswatini,Health: Physicians(per 1 000 pop.),2015,0.1o
Eswatini,Health: Physicians(per 1 000 pop.),2021,0.1p
Eswatini,Education: Primary gross enrol. ratio(f/m per 100 pop.),2010,118.8 /      131.0
Eswatini,Education: Primary gross enrol. ratio(f/m per 100 pop.),2015,113.5 /      124.9
Eswatini,Education: Primary gross enrol. ratio(f/m per 100 pop.),2021,110.1 /      119.3d
Eswatini,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2010,49.5 /       53.9
Eswatini,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2015,61.7 /       62.1
Eswatini,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2021,71.4 /       73.0p
Eswatini,Seats held by women in national parliaments(%),2010,13.6
Eswatini,Seats held by women in national parliaments(%),2015,6.2
Eswatini,Seats held by women in national parliaments(%),2021,9.6s
Eswatini,Urban population(% of total population),2010,22.5
Eswatini,Urban population(% of total population),2015,23.3
Eswatini,Urban population(% of total population),2021,24b
Eswatini,"Fertility rate, totalk(live births per woman)",2010,3.6
Eswatini,"Fertility rate, totalk(live births per woman)",2015,3.1
Eswatini,"Fertility rate, totalk(live births per woman)",2021,3e
Eswatini,"Population age distribution(0-14/60+ years old, %)",2010,40.2 /        5.6
Eswatini,"Population age distribution(0-14/60+ years old, %)",2015,39.1 /        5.7
Eswatini,"Population age distribution(0-14/60+ years old, %)",2021,37.0 /        5.7a
Eswatini,Refugees and others of concern to UNHCR(000),2010,0.8m
Eswatini,Refugees and others of concern to UNHCR(000),2015,0.9
Eswatini,Refugees and others of concern to UNHCR(000),2021,2e
Eswatini,Health: Current expenditure(% of GDP),2010,8.6
Eswatini,Health: Current expenditure(% of GDP),2015,7
Eswatini,Health: Current expenditure(% of GDP),2021,6.5d
Eswatini,Education: Government expenditure(% of GDP),2010,6.1
Eswatini,Education: Government expenditure(% of GDP),2015,7.1q
Eswatini,Education: Government expenditure(% of GDP),2021,...
Eswatini,Education: Secondary gross enrol. ratio(f/m per 100 pop.),2010,63.7 /       67.3
Eswatini,Education: Secondary gross enrol. ratio(f/m per 100 pop.),2015,76.0 /       76.0
Eswatini,Education: Secondary gross enrol. ratio(f/m per 100 pop.),2021,82.2 /       82.6p
Eswatini,Intentional homicide rate(per 100 000 pop.),2010,19.5
Eswatini,Intentional homicide rate(per 100 000 pop.),2015,10.1
Eswatini,Intentional homicide rate(per 100 000 pop.),2021,11.6r
Ethiopia,Population growth ratef(average annual %),2010,2.8
Ethiopia,Population growth ratef(average annual %),2015,2.8
Ethiopia,Population growth ratef(average annual %),2021,2.6c
Ethiopia,Urban population growth ratef(average annual %),2010,4.6
Ethiopia,Urban population growth ratef(average annual %),2015,4.9
Ethiopia,Urban population growth ratef(average annual %),2021,...
Ethiopia,"Life expectancy at birthf(females/males, years)",2010,60.6 /       57.6
Ethiopia,"Life expectancy at birthf(females/males, years)",2015,65.5 /       61.9
Ethiopia,"Life expectancy at birthf(females/males, years)",2021,67.9 /       64.1c
Ethiopia,International migrant stockg(000/% of total pop.),2010,568.7 /        0.6
Ethiopia,International migrant stockg(000/% of total pop.),2015,1 161.6 /        1.2
Ethiopia,International migrant stockg(000/% of total pop.),2021,1 085.5 /        0.9c
Ethiopia,Infant mortality ratef(per 1 000 live births),2010,59.8
Ethiopia,Infant mortality ratef(per 1 000 live births),2015,45.8
Ethiopia,Infant mortality ratef(per 1 000 live births),2021,37c
Ethiopia,Health: Physicians(per 1 000 pop.),2010,~0.0j
Ethiopia,Health: Physicians(per 1 000 pop.),2015,...
Ethiopia,Health: Physicians(per 1 000 pop.),2021,0.1i
Ethiopia,Education: Primary gross enrol. ratio(f/m per 100 pop.),2010,88.0 /       95.2
Ethiopia,Education: Primary gross enrol. ratio(f/m per 100 pop.),2015,96.1 /      105.8
Ethiopia,Education: Primary gross enrol. ratio(f/m per 100 pop.),2021,... / ...
Ethiopia,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2010,13.4 /       19.1
Ethiopia,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2015,17.4 /       17.7
Ethiopia,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2021,... / ...
Ethiopia,Seats held by women in national parliaments(%),2010,21.9
Ethiopia,Seats held by women in national parliaments(%),2015,27.8
Ethiopia,Seats held by women in national parliaments(%),2021,38.8l
Ethiopia,Urban population(% of total population),2010,17.3
Ethiopia,Urban population(% of total population),2015,19.4
Ethiopia,Urban population(% of total population),2021,21.2b
Ethiopia,"Fertility rate, totalf(live births per woman)",2010,5.4
Ethiopia,"Fertility rate, totalf(live births per woman)",2015,4.8
Ethiopia,"Fertility rate, totalf(live births per woman)",2021,4.3c
Ethiopia,"Population age distribution(0-14/60+ years old, %)",2010,44.9 /        5.1
Ethiopia,"Population age distribution(0-14/60+ years old, %)",2015,42.2 /        5.2
Ethiopia,"Population age distribution(0-14/60+ years old, %)",2021,39.6 /        5.3a
Ethiopia,Refugees and others of concern to UNHCR(000),2010,155.4h
Ethiopia,Refugees and others of concern to UNHCR(000),2015,705.7
Ethiopia,Refugees and others of concern to UNHCR(000),2021,2 519.3c
Ethiopia,Health: Current expenditure(% of GDP),2010,5.5
Ethiopia,Health: Current expenditure(% of GDP),2015,3.8
Ethiopia,Health: Current expenditure(% of GDP),2021,3.3i
Ethiopia,Education: Government expenditure(% of GDP),2010,4.5
Ethiopia,Education: Government expenditure(% of GDP),2015,4.7
Ethiopia,Education: Government expenditure(% of GDP),2021,...
Ethiopia,Education: Secondary gross enrol. ratio(f/m per 100 pop.),2010,31.6 /       38.0
Ethiopia,Education: Secondary gross enrol. ratio(f/m per 100 pop.),2015,34.2 /       35.6
Ethiopia,Education: Secondary gross enrol. ratio(f/m per 100 pop.),2021,... / ...
Ethiopia,Intentional homicide rate(per 100 000 pop.),2010,...
Ethiopia,Intentional homicide rate(per 100 000 pop.),2015,8.8k
Ethiopia,Intentional homicide rate(per 100 000 pop.),2021,...
Falkland Islands (Malvinas),"Population growth rateb,k(average annual %)",2010,-0.3
Falkland Islands (Malvinas),"Population growth rateb,k(average annual %)",2015,-0.5
Falkland Islands (Malvinas),"Population growth rateb,k(average annual %)",2021,4.1j
Falkland Islands (Malvinas),"Urban population growth ratec,k(average annual %)",2010,0.2
Falkland Islands (Malvinas),"Urban population growth ratec,k(average annual %)",2015,1
Falkland Islands (Malvinas),"Urban population growth ratec,k(average annual %)",2021,...
Falkland Islands (Malvinas),International migrant stockb(000/% of total pop.),2010,1.4 /       49.5
Falkland Islands (Malvinas),International migrant stockb(000/% of total pop.),2015,1.6 /       55.4
Falkland Islands (Malvinas),International migrant stockb(000/% of total pop.),2021,2.0 /       56.2j
Falkland Islands (Malvinas),Urban populationc(% of total population),2010,73.7
Falkland Islands (Malvinas),Urban populationc(% of total population),2015,76.3
Falkland Islands (Malvinas),Urban populationc(% of total population),2021,78.1d
Faroe Islands,Population growth raten(average annual %),2010,~0.0
Faroe Islands,Population growth raten(average annual %),2015,0.1
Faroe Islands,Population growth raten(average annual %),2021,0.3d
Faroe Islands,Urban population growth raten(average annual %),2010,0.7
Faroe Islands,Urban population growth raten(average annual %),2015,0.5
Faroe Islands,Urban population growth raten(average annual %),2021,...
Faroe Islands,International migrant stock(000/% of total pop.),2010,5.1 /       10.7
Faroe Islands,International migrant stock(000/% of total pop.),2015,5.5 /       11.4
Faroe Islands,International migrant stock(000/% of total pop.),2021,6.8 /       13.9d
Faroe Islands,Urban population(% of total population),2010,40.9
Faroe Islands,Urban population(% of total population),2015,41.6
Faroe Islands,Urban population(% of total population),2021,42.2b
Fiji,Population growth ratek(average annual %),2010,0.9
Fiji,Population growth ratek(average annual %),2015,0.2
Fiji,Population growth ratek(average annual %),2021,0.6d
Fiji,Urban population growth ratek(average annual %),2010,1.8
Fiji,Urban population growth ratek(average annual %),2015,1.7
Fiji,Urban population growth ratek(average annual %),2021,...
Fiji,"Life expectancy at birthk(females/males, years)",2010,68.0 /       64.9
Fiji,"Life expectancy at birthk(females/males, years)",2015,68.6 /       65.4
Fiji,"Life expectancy at birthk(females/males, years)",2021,69.1 /       65.6d
Fiji,International migrant stockl(000/% of total pop.),2010,13.4 /        1.6
Fiji,International migrant stockl(000/% of total pop.),2015,13.8 /        1.6
Fiji,International migrant stockl(000/% of total pop.),2021,14.1 /        1.6d
Fiji,Infant mortality ratek(per 1 000 live births),2010,19.6
Fiji,Infant mortality ratek(per 1 000 live births),2015,20
Fiji,Infant mortality ratek(per 1 000 live births),2021,20.3d
Fiji,Health: Physicians(per 1 000 pop.),2010,0.4o
Fiji,Health: Physicians(per 1 000 pop.),2015,0.9
Fiji,Health: Physicians(per 1 000 pop.),2021,...
Fiji,Education: Primary gross enrol. ratio(f/m per 100 pop.),2010,104.0 /      105.6o
Fiji,Education: Primary gross enrol. ratio(f/m per 100 pop.),2015,105.5 /      107.9
Fiji,Education: Primary gross enrol. ratio(f/m per 100 pop.),2021,114.2 /      118.6b
Fiji,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2010,75.3 /       63.8o
Fiji,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2015,81.9 /       71.9q
Fiji,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2021,... / ...
Fiji,Seats held by women in national parliaments(%),2010,8.5s
Fiji,Seats held by women in national parliaments(%),2015,14
Fiji,Seats held by women in national parliaments(%),2021,21.6t
Fiji,Urban population(% of total population),2010,52.2
Fiji,Urban population(% of total population),2015,54.7
Fiji,Urban population(% of total population),2021,56.8b
Fiji,"Fertility rate, totalk(live births per woman)",2010,2.8
Fiji,"Fertility rate, totalk(live births per woman)",2015,2.8
Fiji,"Fertility rate, totalk(live births per woman)",2021,2.8d
Fiji,"Population age distribution(0-14/60+ years old, %)",2010,29.0 /        7.9
Fiji,"Population age distribution(0-14/60+ years old, %)",2015,29.8 /        8.1
Fiji,"Population age distribution(0-14/60+ years old, %)",2021,28.9 /       10.0a
Fiji,Refugees and others of concern to UNHCR(000),2010,~0.0m
Fiji,Refugees and others of concern to UNHCR(000),2015,~0.0
Fiji,Refugees and others of concern to UNHCR(000),2021,~0.0d
Fiji,Health: Current expenditure(% of GDP),2010,3.4
Fiji,Health: Current expenditure(% of GDP),2015,3.3
Fiji,Health: Current expenditure(% of GDP),2021,"3.4n,c"
Fiji,Education: Government expenditure(% of GDP),2010,4.5o
Fiji,Education: Government expenditure(% of GDP),2015,3.9p
Fiji,Education: Government expenditure(% of GDP),2021,...
Fiji,Education: Secondary gross enrol. ratio(f/m per 100 pop.),2010,90.7 /       82.9o
Fiji,Education: Secondary gross enrol. ratio(f/m per 100 pop.),2015,94.3 /       85.7q
Fiji,Education: Secondary gross enrol. ratio(f/m per 100 pop.),2021,... / ...
Fiji,Intentional homicide rate(per 100 000 pop.),2010,2.3
Fiji,Intentional homicide rate(per 100 000 pop.),2015,2.3r
Fiji,Intentional homicide rate(per 100 000 pop.),2021,...
Finland,"Population growth rateb,l(average annual %)",2010,0.4
Finland,"Population growth rateb,l(average annual %)",2015,0.4
Finland,"Population growth rateb,l(average annual %)",2021,0.2e
Finland,"Urban population growth rateb,l(average annual %)",2010,0.6
Finland,"Urban population growth rateb,l(average annual %)",2015,0.8
Finland,"Urban population growth rateb,l(average annual %)",2021,...
Finland,"Life expectancy at birthb,l(females/males, years)",2010,82.9 /       76.1
Finland,"Life expectancy at birthb,l(females/males, years)",2015,83.7 /       77.7
Finland,"Life expectancy at birthb,l(females/males, years)",2021,84.5 /       78.8e
Finland,International migrant stockb(000/% of total pop.),2010,228.5 /        4.3
Finland,International migrant stockb(000/% of total pop.),2015,314.9 /        5.7
Finland,International migrant stockb(000/% of total pop.),2021,386.1 /        7.0e
Finland,"Infant mortality rateb,l(per 1 000 live births)",2010,2.7
Finland,"Infant mortality rateb,l(per 1 000 live births)",2015,2.1
Finland,"Infant mortality rateb,l(per 1 000 live births)",2021,1.7e
Finland,Health: Physicians(per 1 000 pop.),2010,3.3
Finland,Health: Physicians(per 1 000 pop.),2015,3.3
Finland,Health: Physicians(per 1 000 pop.),2021,4.6n
Finland,Education: Primary gross enrol. ratio(f/m per 100 pop.),2010,99.1 /       99.8
Finland,Education: Primary gross enrol. ratio(f/m per 100 pop.),2015,100.3 /      100.8
Finland,Education: Primary gross enrol. ratio(f/m per 100 pop.),2021,99.9 /      100.5n
Finland,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2010,120.5 /      110.2
Finland,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2015,210.2 /      181.8
Finland,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2021,222.0 /      189.7n
Finland,Seats held by women in national parliaments(%),2010,40
Finland,Seats held by women in national parliaments(%),2015,42.5
Finland,Seats held by women in national parliaments(%),2021,46p
Finland,Urban populationb(% of total population),2010,83.8
Finland,Urban populationb(% of total population),2015,85.2
Finland,Urban populationb(% of total population),2021,85.4d
Finland,"Fertility rate, totalb,l(live births per woman)",2010,1.8
Finland,"Fertility rate, totalb,l(live births per woman)",2015,1.8
Finland,"Fertility rate, totalb,l(live births per woman)",2021,1.5e
Finland,"Population age distributionb(0-14/60+ years old, %)",2010,16.5 /       24.8
Finland,"Population age distributionb(0-14/60+ years old, %)",2015,16.4 /       27.0
Finland,"Population age distributionb(0-14/60+ years old, %)",2021,15.6 /       29.4a
Finland,Refugees and others of concern to UNHCR(000),2010,14m
Finland,Refugees and others of concern to UNHCR(000),2015,16.3
Finland,Refugees and others of concern to UNHCR(000),2021,33.3e
Finland,Health: Current expenditure(% of GDP),2010,9.1
Finland,Health: Current expenditure(% of GDP),2015,9.6
Finland,Health: Current expenditure(% of GDP),2021,9n
Finland,Education: Government expenditure(% of GDP),2010,6.5
Finland,Education: Government expenditure(% of GDP),2015,7
Finland,Education: Government expenditure(% of GDP),2021,6.4o
Finland,Education: Secondary gross enrol. ratio(f/m per 100 pop.),2010,110.1 /      105.2
Finland,Education: Secondary gross enrol. ratio(f/m per 100 pop.),2015,157.5 /      142.9
Finland,Education: Secondary gross enrol. ratio(f/m per 100 pop.),2021,162.6 /      147.4n
Finland,Intentional homicide rate(per 100 000 pop.),2010,2.2
Finland,Intentional homicide rate(per 100 000 pop.),2015,1.5
Finland,Intentional homicide rate(per 100 000 pop.),2021,1.6n
France,Population growth ratel(average annual %),2010,0.6
France,Population growth ratel(average annual %),2015,0.5
France,Population growth ratel(average annual %),2021,0.3c
France,Urban population growth ratel(average annual %),2010,0.9
France,Urban population growth ratel(average annual %),2015,0.8
France,Urban population growth ratel(average annual %),2021,...
France,"Life expectancy at birthl(females/males, years)",2010,84.3 /       77.5
France,"Life expectancy at birthl(females/males, years)",2015,85.0 /       78.7
France,"Life expectancy at birthl(females/males, years)",2021,85.4 /       79.4c
France,International migrant stock(000/% of total pop.),2010,7 310.0 /       11.6
France,International migrant stock(000/% of total pop.),2015,7 878.3 /       12.2
France,International migrant stock(000/% of total pop.),2021,8 524.9 /       13.1c
France,Infant mortality ratel(per 1 000 live births),2010,3.7
France,Infant mortality ratel(per 1 000 live births),2015,3.5
France,Infant mortality ratel(per 1 000 live births),2021,3c
France,Health: Physicians(per 1 000 pop.),2010,6.5
France,Health: Physicians(per 1 000 pop.),2015,6.4
France,Health: Physicians(per 1 000 pop.),2021,6.5o
France,Education: Primary gross enrol. ratioi(f/m per 100 pop.),2010,102.1 /      103.4
France,Education: Primary gross enrol. ratioi(f/m per 100 pop.),2015,101.7 /      102.3
France,Education: Primary gross enrol. ratioi(f/m per 100 pop.),2021,102.6 /      103.1o
France,Education: Upper secondary gross enrol. ratioi(f/m per 100 pop.),2010,112.7 /      109.6
France,Education: Upper secondary gross enrol. ratioi(f/m per 100 pop.),2015,108.6 /      105.4
France,Education: Upper secondary gross enrol. ratioi(f/m per 100 pop.),2021,109.0 /      106.6o
France,Seats held by women in national parliaments(%),2010,18.9
France,Seats held by women in national parliaments(%),2015,26.2
France,Seats held by women in national parliaments(%),2021,39.5q
France,Urban population(% of total population),2010,78.4
France,Urban population(% of total population),2015,79.7
France,Urban population(% of total population),2021,80.7b
France,"Fertility rate, totall(live births per woman)",2010,2
France,"Fertility rate, totall(live births per woman)",2015,2
France,"Fertility rate, totall(live births per woman)",2021,1.9c
France,"Population age distribution(0-14/60+ years old, %)",2010,18.5 /       23.1
France,"Population age distribution(0-14/60+ years old, %)",2015,18.4 /       25.0
France,"Population age distribution(0-14/60+ years old, %)",2021,17.5 /       27.2a
France,Refugees and others of concern to UNHCR(000),2010,250.4m
France,Refugees and others of concern to UNHCR(000),2015,320.1
France,Refugees and others of concern to UNHCR(000),2021,524.9c
France,Health: Current expendituren(% of GDP),2010,11.2
France,Health: Current expendituren(% of GDP),2015,11.5
France,Health: Current expendituren(% of GDP),2021,11.3o
France,Education: Government expenditure(% of GDP),2010,...
France,Education: Government expenditure(% of GDP),2015,...
France,Education: Government expenditure(% of GDP),2021,5.5p
France,Education: Secondary gross enrol. ratioi(f/m per 100 pop.),2010,107.0 /      105.9
France,Education: Secondary gross enrol. ratioi(f/m per 100 pop.),2015,103.9 /      102.9
France,Education: Secondary gross enrol. ratioi(f/m per 100 pop.),2021,104.4 /      103.9o
France,Intentional homicide rate(per 100 000 pop.),2010,1.3
France,Intentional homicide rate(per 100 000 pop.),2015,1.6
France,Intentional homicide rate(per 100 000 pop.),2021,1.2o
French Guiana,Population growth ratel(average annual %),2010,2.8
French Guiana,Population growth ratel(average annual %),2015,2.3
French Guiana,Population growth ratel(average annual %),2021,2.7d
French Guiana,Urban population growth ratel(average annual %),2010,3.2
French Guiana,Urban population growth ratel(average annual %),2015,3.1
French Guiana,Urban population growth ratel(average annual %),2021,...
French Guiana,"Life expectancy at birthl(females/males, years)",2010,81.5 /       75.0
French Guiana,"Life expectancy at birthl(females/males, years)",2015,82.8 /       76.2
French Guiana,"Life expectancy at birthl(females/males, years)",2021,83.0 /       76.7d
French Guiana,International migrant stockm(000/% of total pop.),2010,96.3 /       41.3
French Guiana,International migrant stockm(000/% of total pop.),2015,106.1 /       40.7
French Guiana,International migrant stockm(000/% of total pop.),2021,119.2 /       39.9d
French Guiana,Infant mortality ratel(per 1 000 live births),2010,10.5
French Guiana,Infant mortality ratel(per 1 000 live births),2015,9.1
French Guiana,Infant mortality ratel(per 1 000 live births),2021,8.7d
French Guiana,Urban population(% of total population),2010,82.9
French Guiana,Urban population(% of total population),2015,84.5
French Guiana,Urban population(% of total population),2021,85.6b
French Guiana,"Fertility rate, totall(live births per woman)",2010,3.6
French Guiana,"Fertility rate, totall(live births per woman)",2015,3.4
French Guiana,"Fertility rate, totall(live births per woman)",2021,3.4d
French Guiana,"Population age distribution(0-14/60+ years old, %)",2010,34.9 /        6.6
French Guiana,"Population age distribution(0-14/60+ years old, %)",2015,33.5 /        7.3
French Guiana,"Population age distribution(0-14/60+ years old, %)",2021,31.7 /        9.1a
French Guiana,Intentional homicide rate(per 100 000 pop.),2010,13.2n
French Guiana,Intentional homicide rate(per 100 000 pop.),2015,...
French Guiana,Intentional homicide rate(per 100 000 pop.),2021,...
French Polynesia,Population growth ratel(average annual %),2010,0.6
French Polynesia,Population growth ratel(average annual %),2015,0.5
French Polynesia,Population growth ratel(average annual %),2021,0.6g
French Polynesia,Urban population growth ratel(average annual %),2010,2
French Polynesia,Urban population growth ratel(average annual %),2015,1.2
French Polynesia,Urban population growth ratel(average annual %),2021,...
French Polynesia,"Life expectancy at birthl(females/males, years)",2010,77.4 /       72.8
French Polynesia,"Life expectancy at birthl(females/males, years)",2015,78.6 /       74.0
French Polynesia,"Life expectancy at birthl(females/males, years)",2021,79.6 /       75.3g
French Polynesia,International migrant stockm(000/% of total pop.),2010,31.6 /       11.9
French Polynesia,International migrant stockm(000/% of total pop.),2015,30.1 /       11.0
French Polynesia,International migrant stockm(000/% of total pop.),2021,30.1 /       10.7g
French Polynesia,Infant mortality ratel(per 1 000 live births),2010,8.8
French Polynesia,Infant mortality ratel(per 1 000 live births),2015,6.9
French Polynesia,Infant mortality ratel(per 1 000 live births),2021,6.7g
French Polynesia,Urban population(% of total population),2010,60.3
French Polynesia,Urban population(% of total population),2015,61.7
French Polynesia,Urban population(% of total population),2021,61.9c
French Polynesia,"Fertility rate, totall(live births per woman)",2010,2.2
French Polynesia,"Fertility rate, totall(live births per woman)",2015,2
French Polynesia,"Fertility rate, totall(live births per woman)",2021,2g
French Polynesia,"Population age distribution(0-14/60+ years old, %)",2010,25.5 /        9.3
French Polynesia,"Population age distribution(0-14/60+ years old, %)",2015,23.6 /       11.4
French Polynesia,"Population age distribution(0-14/60+ years old, %)",2021,22.0 /       14.1a
French Polynesia,Intentional homicide rate(per 100 000 pop.),2010,0.4n
French Polynesia,Intentional homicide rate(per 100 000 pop.),2015,...
French Polynesia,Intentional homicide rate(per 100 000 pop.),2021,...
Gabon,Population growth rateg(average annual %),2010,3.1
Gabon,Population growth rateg(average annual %),2015,3.6
Gabon,Population growth rateg(average annual %),2021,2.7d
Gabon,Urban population growth rateg(average annual %),2010,3.9
Gabon,Urban population growth rateg(average annual %),2015,3.9
Gabon,Urban population growth rateg(average annual %),2021,...
Gabon,"Life expectancy at birthg(females/males, years)",2010,61.0 /       58.2
Gabon,"Life expectancy at birthg(females/males, years)",2015,64.8 /       61.9
Gabon,"Life expectancy at birthg(females/males, years)",2021,68.2 /       64.0d
Gabon,"International migrant stockh,i(000/% of total pop.)",2010,270.8 /       16.7
Gabon,"International migrant stockh,i(000/% of total pop.)",2015,378.7 /       19.4
Gabon,"International migrant stockh,i(000/% of total pop.)",2021,416.7 /       18.7d
Gabon,Infant mortality rateg(per 1 000 live births),2010,49.9
Gabon,Infant mortality rateg(per 1 000 live births),2015,41.9
Gabon,Infant mortality rateg(per 1 000 live births),2021,35.3d
Gabon,Health: Physicians(per 1 000 pop.),2010,0.1l
Gabon,Health: Physicians(per 1 000 pop.),2015,...
Gabon,Health: Physicians(per 1 000 pop.),2021,0.7m
Gabon,Education: Primary gross enrol. ratio(f/m per 100 pop.),2010,... / ...
Gabon,Education: Primary gross enrol. ratio(f/m per 100 pop.),2015,137.7 /      142.1o
Gabon,Education: Primary gross enrol. ratio(f/m per 100 pop.),2021,... / ...
Gabon,Seats held by women in national parliaments(%),2010,14.7
Gabon,Seats held by women in national parliaments(%),2015,14.2
Gabon,Seats held by women in national parliaments(%),2021,16.2p
Gabon,Urban population(% of total population),2010,85.5
Gabon,Urban population(% of total population),2015,88.1
Gabon,Urban population(% of total population),2021,89.7b
Gabon,"Fertility rate, totalg(live births per woman)",2010,4.2
Gabon,"Fertility rate, totalg(live births per woman)",2015,4.1
Gabon,"Fertility rate, totalg(live births per woman)",2021,4d
Gabon,"Population age distribution(0-14/60+ years old, %)",2010,37.4 /        6.0
Gabon,"Population age distribution(0-14/60+ years old, %)",2015,36.3 /        5.4
Gabon,"Population age distribution(0-14/60+ years old, %)",2021,37.4 /        5.4a
Gabon,Refugees and others of concern to UNHCR(000),2010,13.2j
Gabon,Refugees and others of concern to UNHCR(000),2015,2.9
Gabon,Refugees and others of concern to UNHCR(000),2021,0.6d
Gabon,Health: Current expenditure(% of GDP),2010,2.5
Gabon,Health: Current expenditure(% of GDP),2015,2.7
Gabon,Health: Current expenditure(% of GDP),2021,2.7k
Gabon,Education: Government expenditure(% of GDP),2010,3.1
Gabon,Education: Government expenditure(% of GDP),2015,2.7n
Gabon,Education: Government expenditure(% of GDP),2021,...
Gambia,Population growth ratel(average annual %),2010,3
Gambia,Population growth ratel(average annual %),2015,3
Gambia,Population growth ratel(average annual %),2021,2.9d
Gambia,Urban population growth ratel(average annual %),2010,4.5
Gambia,Urban population growth ratel(average annual %),2015,4.4
Gambia,Urban population growth ratel(average annual %),2021,...
Gambia,"Life expectancy at birthl(females/males, years)",2010,60.2 /       57.6
Gambia,"Life expectancy at birthl(females/males, years)",2015,61.6 /       59.1
Gambia,"Life expectancy at birthl(females/males, years)",2021,63.0 /       60.2d
Gambia,International migrant stockm(000/% of total pop.),2010,185.8 /       10.4
Gambia,International migrant stockm(000/% of total pop.),2015,192.5 /        9.2
